No.,Drug Name,Active Ingredient,Approval Date,FDA-approved use on approval date*
21.0,Rozlytrek,entrectinib,8/15/2019,To treat adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are ROS1-positive  To treat adult and pediatric patients 12 years of age and older with solid tumorsPress ReleaseDrug Trials Snapshot: Pediatric patients 12 years of age and older with solid tumorsDrug Trials Snapshot: Metastatic non-small cell lung cancer (NSCLC) whose tumors are ROS1-positive
20.0,Wakix,pitolisant,8/14/2019,To treat excessive daytime sleepiness (EDS) in adult patients with narcolepsyDrug Trials Snapshot
19.0,,pretomanid,8/14/2019,For treatment-resistant forms of tuberculosis that affects the lungsPress ReleaseDrug Trials Snapshot
18.0,Turalio,pexidartinib,8/2/2019,To treat adult patients with symptomatic tenosynovial giant cell tumorPress ReleaseDrug Trials Snapshot
17.0,Nubeqa,darolutamide,7/30/2019,To treat adult patients with non-metastatic castration resistant prostate cancerDrug Trials Snapshot
16.0,Accrufer,ferric maltol,7/25/2019,To treat iron deficiency anemia in adultsDrug Trials Snapshot
15.0,Recarbrio,"imipenem, cilastatin and relebactam",7/16/2019,To treat complicated urinary tract and complicated intra-abdominal infectionsPress ReleaseDrug Trials Snapshot
14.0,Xpovio,selinexor,7/3/2019,To treat adult patients with relapsed or refractory multiple myeloma (RRMM)Press Release Drug Trials Snapshot
13.0,Vyleesi,bremelanotide,6/21/2018,To treat hypoactive sexual desire disorder in premenopausal women.Press ReleaseDrug Trials Snapshot
12.0,Polivy,polatuzumab vedotin-piiq,6/10/2019,To treat adult patients with relapsed or refractory diffuse large B-cell lymphomaPress ReleaseDrug Trials Snapshot
11.0,Piqray,alpelisib,5/24/2019,To treat breast cancerPress ReleaseDrug Trials Snapshot
10.0,Vyndaqel,tafamidis meglumine,5/3/2019,To treat heart disease (cardiomyopathy) caused by transthyretin mediated amyloidosis (ATTR-CM) in adultsPress Release Drug Trials Snapshot
9.0,Skyrizi,risankizumab-rzaa,4/23/2019,To treat moderate-to-severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapyDrug Trials Snapshot
8.0,Balversa,erdafitinib,4/12/2019,To treat adult patients with locally advanced or metastatic bladder cancerPress ReleaseDrug Trials Snapshot
7.0,Evenity,romosozumab-aqqg,4/9/2019,To treat osteoporosis in postmenopausal women at high risk of fracturePress ReleaseDrug Trials Snapshot
6.0,Mayzent,siponimod,3/26/2019,To treat adults with relapsing forms of multiple sclerosisPress ReleaseDrug Trials Snapshot
5.0,Sunosi,solriamfetol,3/20/2019,To treat excessive sleepiness in adult patients with narcolepsy or obstructive sleep apneaDrug Trials Snapshot
4.0,Zulresso,brexanolone,3/19/2019,To treat postpartum depression (PPD) in adult womenPress ReleaseDrug Trials Snapshot
3.0,Egaten,triclabendazole,2/13/2019,"To treat fascioliasis, a parasitic infestation caused by two species of flatworms or trematodes that mainly the affect the liver, sometimes referred to as “liver flukes”Drug Trials Snapshot"
2.0,Cablivi,caplacizumab-yhdp,2/6/2019,To treat adult patients with acquired thrombotic thrombocytopenic purpura (aTTP)Press ReleaseDrug Trials Snapshot
1.0,Jeuveau,prabotulinumtoxinA-xvfs,2/1/2019,For the temporary improvement in the appearance of moderate to severe glabellar lines associated with corrugator and/or procerus muscle activity in adult patients
