No.,Drug  Name,Active Ingredient,Date,FDA-approved use on approval date*
29.0,Praxbind,idarucizumab,10/16/2015,For use in patients who are taking the anticoagulant Pradaxa (dabigatran) during emergency situations when there is a need to reverse Pradaxa’s blood-thinning effects.Drug Trials Snapshot
28.0,Aristada,aripiprazole lauroxil,10/5/2015,To treat adults with schizophreniaDrug Trials Snapshot
27.0,Tresiba,insulin degludec injection,9/25/2015,To improve blood sugar (glucose) control in adults with diabetes mellitusDrug Trials Snapshot
26.0,Lonsurf,trifluridine and tipiracil,9/22/2015,To treat patients with an advanced form of colorectal cancer who are no longer responding to other therapiesDrug Trials Snapshot
25.0,Vraylar,cariprazine,9/17/2015,To treat schizophrenia and bipolar disorder in adultsDrug Trials Snapshot for the treatment of bipolar disorderDrug Trials Snapshot for the treatment of schizophrenia
24.0,Xuriden,uridine triacetate,9/4/2015,To treat patients with hereditary orotic aciduriaDrug Trials Snapshot
23.0,Varubi,rolapitant,9/1/2015,To prevent delayed phase chemotherapy-induced nausea and vomiting (emesis)Drug Trials Snapshot
22.0,Repatha,evolocumab,8/27/2015,To treat certain patients with high cholesterolDrug Trials Snapshot
21.0,Addyi,flibanserin,8/18/2015,"To treat acquired, generalized hypoactive sexual desire disorder (HSDD) in premenopausal womenDrug Trials Snapshot"
20.0,Daklinza,daclatasvir,7/24/2015,To treat chronic hepatitis C virus (HCV) genotype 3 infectionsDrug Trials Snapshot
19.0,Odomzo,sonidegib,7/24/2015,"To treat patients with locally advanced basal cell carcinoma that has recurred following surgery or radiation therapy, or who are not candidates for surgery or radiation therapy.Drug Trials Snapshot"
18.0,Praluent,alirocumab,7/24/2015,To treat certain patients with high cholesterolDrug Trials Snapshot
17.0,Rexulti,brexpiprazole,7/10/2015,To treat schizophrenia and as an add on to an antidepressant to treat major depressive disorderDrug Trials Snapshot (treatment of major depressive disorder)Drug Trials Snapshot (treatment of schizophrenia)
16.0,Entresto,sacubitril/valsartan,7/7/2015,To treat heart failureDrug Trials Snapshot
15.0,Orkambi,lumacaftor 200 mg/ivacaftor 125 mg,7/2/2015,To treat cystic fibrosisDrug Trials Snapshot
14.0,Kengreal,cangrelor,6/22/2015,To prevent the formation of harmful blood clots in the coronary arteries for adult patients undergoing percutaneous coronary interventionDrug Trials Snapshot
13.0,Viberzi,eluxadoline,5/27/2015,To treat irritable bowel syndrome with diarrhea (IBS-D) in adult men and women.Drug Trials Snapshot
12.0,Kybella,deoxycholic acid,4/29/2015,"To treat adults with moderate-to-severe fat below the chin, known as submental fatDrug Trials Snapshot"
11.0,Corlanor,ivabradine,4/15/2015,To reduce hospitalization from worsening heart failure.Drug Trials Snapshot
10.0,Cholbam,cholic acid,3/17/2015,"To treat pediatric and adult patients with bile acid synthesis disorders due to single enzyme defects, and for patients with peroxisomal disordersDrug Trials Snapshot (bile acid synthesis disorders)Drug Trials Snapshot (peroxisomal disorders)"
9.0,Unituxin,dinutuximab,3/10/2015,To treat pediatric patients with high-risk neuroblastomaDrug Trials Snapshot
8.0,Cresembacapsuleinjection,isavuconazonium sulfate,3/6/2015,"To treat adults with invasive aspergillosis and invasive mucormycosis, rare but serious infectionsDrug Trials Snapshot (aspergillosis)Drug Trials Snapshot (mucormycosis)"
7.0,Avycaz,ceftazidime-avibactam,2/25/2015,"To treat adults with complicated intra-abdominal infections (cIAI), in combination with metronidazole, and complicated urinary tract infections (cUTI), including kidney infections (pyelonephritis), who have limited or no alternative treatment options.Drug Trials Snaphot (cIAI)"
6.0,Farydak,panobinostat,2/23/2015,To treat patients with multiple myelomaDrug Trials Snapshot
5.0,Lenvima,lenvatinib,2/13/2015,"To treat patients with progressive, differentiated thyroid cancer (DTC) whose disease progressed despite receiving radioactive iodine therapy (radioactive iodine refractory disease).Drug Trials Snapshot"
4.0,Ibrance,palbociclib,2/3/2015,To treat advanced (metastatic) breast cancerDrug Trials Snapshot
3.0,Natpara,parathyroid horomone,1/23/2015,To control hypocalcemia (low blood calcium levels) in patients with hypoparathyroidismDrug Trials Snapshot
2.0,Cosentyx,secukinumab,1/21/2015,To treat adults with moderate-to-severe plaque psoriasisDrug Trials Snapshot
1.0,Savaysa,edoxaban,1/8/2015,To reduce the risk of stroke and dangerous blood clots (systemic embolism) in patients with atrial fibrillation that is not caused by a heart valve problemDrug Trials Snapshot (atrial fibrillation) Drug Trials Snapshot (venous thromboembolism)
